trip_id,vehicle_id,origin,origin_lat,origin_lon,destination,dest_lat,dest_lon,distance_km,n_passengers,avg_speed_kmh,grade_avg,n_stops,temperature_C,hour,timestamp_sec,wait_time_sec,energy_kWh,deadhead_km,deadhead_energy_kWh,soc_after
348,13,Rowe Village Middle,41.833712,-87.626167,S.R. Crown Hall,41.833199,-87.627273,0.1403,5,21.17,-0.00633,1,1.53,7,25243.764377318592,0.0,0.071231,0.0,0.0,0.9494
247,3,McCormick Tribune Campus Center,41.835621,-87.625887,Perlstein Hall,41.835479,-87.627146,0.1371,5,20.66,0.00441,1,2.35,7,25245.387071912734,0.0,0.092944,0.0,0.0,0.9492
361,7,S.R. Crown Hall,41.833199,-87.627273,Main Building,41.834303,-87.629281,0.2688,5,22.45,-0.00762,0,0.63,7,25232.594981689337,0.0,0.10064,0.0,0.0,0.9491
266,4,Paul Galvin Library,41.833675,-87.628336,Grover M. Herman Hall,41.835681,-87.628387,0.29,2,18.42,-0.00286,1,0.35,7,25227.59051753721,0.0,0.147625,0.0,0.0,0.9487
136,14,Grover M. Herman Hall,41.835681,-87.628387,S.R. Crown Hall,41.833199,-87.627273,0.3783,7,20.84,0.00505,1,1.33,7,25222.9891381806,0.0,0.231261,0.0,0.0,0.948
202,24,McCormick Student Village,41.835527,-87.624207,Perlstein Hall,41.835479,-87.627146,0.3166,7,19.96,-0.00529,0,-0.37,7,25243.634788718016,0.0,0.138883,0.0,0.0,0.9488
45,11,Cunningham Hall,41.83774,-87.623975,Kaplan Institute,41.836861,-87.6283,0.4828,7,27.68,0.00197,0,-2.95,7,25239.015545329075,0.0,0.250345,0.0,0.0,0.9479
229,40,McCormick Student Village,41.835527,-87.624207,The Commons,41.83604,-87.625535,0.1611,6,22.66,0.00447,0,-1.26,7,25287.09035000888,0.0,0.100168,0.0,0.0,0.9492
7,9,Arthur S. Keating Sports Center,41.838985,-87.625566,McCormick Student Village,41.835527,-87.624207,0.5209,5,19.59,0.00324,0,0.98,7,25219.87962164497,0.0,0.289026,0.0,0.0,0.9476
123,4,Grover M. Herman Hall,41.835681,-87.628387,Kaplan Institute,41.836861,-87.6283,0.1708,5,17.48,-0.00155,2,2.15,7,25287.842813603536,0.0,0.103503,0.0,0.0,0.9479
207,2,McCormick Student Village,41.835527,-87.624207,Pritzker Science Center,41.83793,-87.62738,0.4873,4,21.13,-0.003,1,1.38,7,25243.590510845595,0.0,0.221153,0.0,0.0,0.9481
316,6,Pritzker Science Center,41.83793,-87.62738,Perlstein Hall,41.835479,-87.627146,0.3552,5,15.25,0.00387,0,0.92,7,25263.188508119863,0.0,0.228183,0.0,0.0,0.9481
139,0,Kaplan Institute,41.836861,-87.6283,Cunningham Hall,41.83774,-87.623975,0.4828,7,21.03,-0.00882,0,1.34,7,25279.64478550439,0.0,0.165099,0.0,0.0,0.9486
148,11,Kaplan Institute,41.836861,-87.6283,The Commons,41.83604,-87.625535,0.3206,2,20.26,-0.0015,0,0.99,7,25319.53119164892,0.0,0.15198,0.0,0.0,0.9466
272,26,Paul Galvin Library,41.833675,-87.628336,Pritzker Science Center,41.83793,-87.62738,0.6236,7,15.76,0.00733,0,-0.97,7,25236.472262499876,0.0,0.444232,0.0,0.0,0.9462
153,1,Main Building,41.834303,-87.629281,McCormick Tribune Campus Center,41.835621,-87.625887,0.4122,7,17.24,-0.00199,0,-0.56,7,25310.349007940902,0.0,0.217241,0.0,0.0,0.9482
349,29,Rowe Village Middle,41.833712,-87.626167,S.R. Crown Hall,41.833199,-87.627273,0.1403,4,18.97,-0.00401,1,1.46,7,25386.608876831026,0.0,0.07588,0.0,0.0,0.9494
160,7,Main Building,41.834303,-87.629281,The Commons,41.83604,-87.625535,0.4752,6,20.06,-0.00267,1,0.77,7,25332.017136960756,0.0,0.227562,0.0,0.0,0.9472
34,10,Chemistry Research Building,41.831886,-87.628445,The Commons,41.83604,-87.625535,0.6773,4,18.77,0.0059,2,-1.68,7,25291.262676295646,0.0,0.441713,0.0,0.0,0.9463
308,2,Pritzker Science Center,41.83793,-87.62738,Arthur S. Keating Sports Center,41.838985,-87.625566,0.2478,6,17.89,-0.00164,0,-1.13,7,25373.469644615867,0.0,0.13345,0.0,0.0,0.947
69,35,Cunningham Hall,41.83774,-87.623975,Perlstein Hall,41.835479,-87.627146,0.4727,3,19.36,-0.00213,0,-1.36,7,25347.127018559324,0.0,0.231657,0.0,0.0,0.948
214,9,McCormick Student Village,41.835527,-87.624207,S.R. Crown Hall,41.833199,-87.627273,0.4715,7,20.99,-0.00265,3,0.05,7,25355.425448869242,0.0,0.248279,0.0,0.0,0.9454
240,25,McCormick Tribune Campus Center,41.835621,-87.625887,Kaplan Institute,41.836861,-87.6283,0.3157,3,20.52,0.00129,1,-1.35,7,25387.043679195365,0.0,0.180301,0.0,0.0,0.9485
301,3,Perlstein Hall,41.835479,-87.627146,The Commons,41.83604,-87.625535,0.1915,2,14.24,-0.00013,0,3.47,7,25395.595325362454,0.0,0.109248,0.0,0.0,0.9483
40,19,Cunningham Hall,41.83774,-87.623975,Chemistry Research Building,41.831886,-87.628445,0.9736,9,21.08,-0.00323,2,0.21,7,25295.440717949838,0.0,0.448661,0.0,0.0,0.9462
375,8,The Commons,41.83604,-87.625535,Kaplan Institute,41.836861,-87.6283,0.3206,6,19.98,0.00384,1,4.34,7,25407.835773210423,0.0,0.183739,0.0,0.0,0.9484
368,13,S.R. Crown Hall,41.833199,-87.627273,Perlstein Hall,41.835479,-87.627146,0.3299,6,18.7,-0.0033,0,0.22,7,25402.23387845078,0.0,0.157645,0.0,0.0,0.9481
101,12,Farr Hall,41.834344,-87.623795,McCormick Student Village,41.835527,-87.624207,0.1767,6,15.35,0.00034,1,0.52,7,25436.55110194207,0.0,0.112772,0.0,0.0,0.949
232,1,McCormick Tribune Campus Center,41.835621,-87.625887,Arthur S. Keating Sports Center,41.838985,-87.625566,0.4875,5,19.42,0.00151,0,1.98,7,25405.396996144515,0.0,0.253464,0.0,0.0,0.946
165,56,McCormick Student Village,41.835527,-87.624207,Chemistry Research Building,41.831886,-87.628445,0.6967,10,19.12,-0.01328,0,0.02,7,25373.563339898003,0.0,0.203828,0.0,0.0,0.9483
242,41,McCormick Tribune Campus Center,41.835621,-87.625887,Main Building,41.834303,-87.629281,0.4122,6,17.59,0.00692,2,-1.51,7,25434.73652853777,0.0,0.293996,0.0,0.0,0.9475
154,23,Main Building,41.834303,-87.629281,McCormick Tribune Campus Center,41.835621,-87.625887,0.4122,5,21.57,0.00148,3,2.89,7,25459.914272325033,0.0,0.237005,0.0,0.0,0.948
84,20,Farr Hall,41.834344,-87.623795,Arthur S. Keating Sports Center,41.838985,-87.625566,0.6975,5,24.65,-0.00392,2,-0.43,7,25439.386562520398,0.0,0.308275,0.0,0.0,0.9474
323,28,Pritzker Science Center,41.83793,-87.62738,The Commons,41.83604,-87.625535,0.3378,3,17.86,0.00933,1,0.15,7,25474.461184704833,0.0,0.238609,0.0,0.0,0.948
208,72,McCormick Student Village,41.835527,-87.624207,Pritzker Science Center,41.83793,-87.62738,0.4873,4,19.38,-0.0072,0,0.69,7,25456.524219954932,0.0,0.189823,0.0,0.0,0.9484
297,5,Perlstein Hall,41.835479,-87.627146,Pritzker Science Center,41.83793,-87.62738,0.3552,3,17.08,0.00394,0,1.51,7,25476.703470994187,0.0,0.211386,0.0,0.0,0.9482
364,9,S.R. Crown Hall,41.833199,-87.627273,McCormick Tribune Campus Center,41.835621,-87.625887,0.3806,9,21.02,0.00138,2,1.32,7,25492.13704273046,0.0,0.222335,0.0,0.0,0.9436
373,3,The Commons,41.83604,-87.625535,Grover M. Herman Hall,41.835681,-87.628387,0.3115,1,19.59,-0.00062,3,-0.3,7,25500.79561503848,0.0,0.183061,0.0,0.0,0.9467
318,26,Pritzker Science Center,41.83793,-87.62738,Rowe Village Middle,41.833712,-87.626167,0.6236,5,18.3,0.0005,1,0.26,7,25436.501492235715,0.0,0.339416,0.0,0.0,0.9434
140,4,Kaplan Institute,41.836861,-87.6283,Main Building,41.834303,-87.629281,0.3846,6,15.78,-0.00017,1,1.85,7,25496.571764217035,0.0,0.219499,0.0,0.0,0.946
35,18,Chemistry Research Building,41.831886,-87.628445,The Commons,41.83604,-87.625535,0.6773,8,23.81,0.00212,1,0.32,7,25482.442972832156,0.0,0.358894,0.0,0.0,0.947
70,67,Cunningham Hall,41.83774,-87.623975,Perlstein Hall,41.835479,-87.627146,0.4727,5,23.14,-0.00171,0,-0.28,7,25519.3291215254,0.0,0.214941,0.0,0.0,0.9482
41,0,Cunningham Hall,41.83774,-87.623975,Chemistry Research Building,41.831886,-87.628445,0.9736,2,23.13,0.00263,1,2.64,7,25454.047490641547,0.0,0.478018,0.0,0.0,0.9445
253,9,McCormick Tribune Campus Center,41.835621,-87.625887,The Commons,41.83604,-87.625535,0.0715,5,23.1,-0.0076,0,2.28,7,25599.562089168532,0.0,0.034836,0.0,0.0,0.9433
196,88,McCormick Student Village,41.835527,-87.624207,McCormick Tribune Campus Center,41.835621,-87.625887,0.1814,4,17.81,0.00108,0,3.64,7,25580.392863342277,0.0,0.097766,0.0,0.0,0.9492
309,5,Pritzker Science Center,41.83793,-87.62738,Arthur S. Keating Sports Center,41.838985,-87.625566,0.2478,3,19.0,0.0078,0,0.62,7,25579.313720103084,0.0,0.160864,0.0,0.0,0.9468
46,83,Cunningham Hall,41.83774,-87.623975,Kaplan Institute,41.836861,-87.6283,0.4828,3,16.26,0.00087,1,0.0,7,25528.63203643008,0.0,0.282904,0.0,0.0,0.9476
125,3,Grover M. Herman Hall,41.835681,-87.628387,Main Building,41.834303,-87.629281,0.2212,4,20.95,-0.00806,2,0.99,7,25597.70680727302,0.0,0.104826,0.0,0.0,0.9458
29,34,Chemistry Research Building,41.831886,-87.628445,Perlstein Hall,41.835479,-87.627146,0.5379,7,21.71,0.00568,3,0.58,7,25549.835377574767,0.0,0.348739,0.0,0.0,0.947
25,19,Chemistry Research Building,41.831886,-87.628445,McCormick Tribune Campus Center,41.835621,-87.625887,0.6061,7,20.17,-0.00571,3,0.77,7,25537.22916418113,0.0,0.274386,0.0,0.0,0.9439
78,51,Cunningham Hall,41.83774,-87.623975,S.R. Crown Hall,41.833199,-87.627273,0.7464,7,15.89,-0.00386,0,0.34,7,25488.841484381912,0.0,0.376048,0.0,0.0,0.9468
186,12,McCormick Student Village,41.835527,-87.624207,Main Building,41.834303,-87.629281,0.5744,8,17.19,0.00258,3,-1.13,7,25548.03521872819,0.0,0.371891,0.0,0.0,0.9459
166,104,McCormick Student Village,41.835527,-87.624207,Chemistry Research Building,41.831886,-87.628445,0.6967,5,25.53,0.00682,2,0.11,7,25583.734909108767,0.0,0.426238,0.0,0.0,0.9464
23,50,Chemistry Research Building,41.831886,-87.628445,Kaplan Institute,41.836861,-87.6283,0.7193,1,22.06,-0.00806,0,-1.02,7,25565.297554317716,0.0,0.254764,0.0,0.0,0.9478
143,8,Kaplan Institute,41.836861,-87.6283,Pritzker Science Center,41.83793,-87.62738,0.1836,3,16.93,-0.00126,1,1.09,7,25650.668851929182,0.0,0.105152,0.0,0.0,0.9476
10,2,Arthur S. Keating Sports Center,41.838985,-87.625566,Perlstein Hall,41.835479,-87.627146,0.5346,2,18.01,0.00426,1,-0.37,7,25588.409137175895,0.0,0.325703,0.0,0.0,0.9442
302,6,Perlstein Hall,41.835479,-87.627146,The Commons,41.83604,-87.625535,0.1915,2,19.39,0.0003,2,-0.06,7,25681.782106798895,0.0,0.120335,0.0,0.0,0.947
13,17,Arthur S. Keating Sports Center,41.838985,-87.625566,Rowe Village Middle,41.833712,-87.626167,0.765,3,22.6,-0.006,0,1.4,7,25596.186928299638,0.0,0.277021,0.0,0.0,0.9477
285,2,Perlstein Hall,41.835479,-87.627146,Grover M. Herman Hall,41.835681,-87.628387,0.1368,9,20.84,-0.00311,0,2.82,7,25701.108124844504,0.0,0.066628,0.0,0.0,0.9437
33,0,Chemistry Research Building,41.831886,-87.628445,Rowe Village Middle,41.833712,-87.626167,0.3604,4,18.68,0.00065,1,1.16,7,25657.417845546785,0.0,0.197799,0.0,0.0,0.9429
3,1,Arthur S. Keating Sports Center,41.838985,-87.625566,Chemistry Research Building,41.831886,-87.628445,1.072,2,19.29,-0.00243,1,2.68,7,25551.619610422982,0.0,0.474246,0.0,0.0,0.942
215,120,McCormick Student Village,41.835527,-87.624207,S.R. Crown Hall,41.833199,-87.627273,0.4715,5,20.03,-0.00491,0,0.87,7,25674.223584436422,0.0,0.197769,0.0,0.0,0.9483
260,42,Paul Galvin Library,41.833675,-87.628336,Arthur S. Keating Sports Center,41.838985,-87.625566,0.8235,7,19.29,0.00936,0,-1.39,7,25613.75878941444,0.0,0.564283,0.0,0.0,0.9452
129,2,Grover M. Herman Hall,41.835681,-87.628387,Perlstein Hall,41.835479,-87.627146,0.1368,6,21.83,-0.0001,1,1.58,7,25754.025262823478,0.0,0.0849,0.0,0.0,0.943
